dataset_name,OS-CNN,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8)
SonyAIBORobotSurface1,97.95(0.95),74.3(1.9),96.0(0.7),96.0(0.7),98.83527454,94.34276206,93.51081531,90.51580699,95.8(1.3),67.2(1.3),44.3(4.5),42.9(0.0),65.3(10.9),68.7(2.3),63.8(9.9),69.6,72.5,89.74,79.53410982,70.38269551,82.4625624,84.359401,63.2279534,82.363,84.5257903,76.5391015,86.86,98.51913478,98.25291181,98.28618968,98.38602329,98.50249584,98.7687188,98.80199667
SonyAIBORobotSurface2,95.38(1.46),83.9(1.0),97.9(0.5),97.9(0.5),96.01259182,92.44491081,91.39559286,90.34627492,97.8(0.5),83.4(0.7),59.4(7.4),61.7(0.0),77.4(6.7),84.1(1.7),69.7(4.3),85.9,83.1,91.84,77.7544596,87.82791186,87.8908709,93.38929696,85.9391396,93.494,95.1731375,92.7597062,94.65,95.5089192,96.00209864,95.76075551,95.71878279,96.03357817,95.93913956,95.81322141
StarLightCurves,97.5(0.25),95.7(0.5),96.1(0.9),96.1(0.9),97.4137931,96.80670228,97.91160758,97.93589121,97.2(0.3),94.9(0.2),65.4(16.1),57.7(0.0),93.9(1.2),92.6(0.2),85.0(0.2),90.5,90.7,96.65,97.7051967,92.6056338,97.6857698,97.85089849,97.7780476,97.729,97.9601748,98.1544439,97.94,97.65177271,97.77076251,97.79990287,97.82054395,97.83632831,97.8375425,97.83875668
Strawberry,98.19(0.48),94.6(0.9),97.2(0.3),97.2(0.3),98.37837838,97.83783784,98.10810811,98.37837838,98.1(0.4),96.1(0.5),64.3(0.0),64.3(0.0),95.6(0.6),95.9(0.3),89.5(2.0),94.6,94.1,91.08108108,95.40540541,94.59459459,95.4864865,96.21621622,97.5675676,97.568,95.1351351,97.027027,98.38,98.35135135,98.40540541,98.51351351,98.51351351,98.48648649,98.48648649,98.54054054
SwedishLeaf,97.12(0.56),93.0(1.1),96.9(0.5),96.9(0.5),96.48,94.72,93.76,92.96,95.6(0.4),85.1(0.5),11.8(13.2),6.5(0.4),84.6(3.6),88.4(1.1),82.5(1.4),84.6,79.2,91.3,91.52,91.52,93.936,92.8,92.16,96.64,95.52,95.36,97.44,97.6,97.632,97.792,97.808,97.696,97.808,97.888
Symbols,96.12(1.45),82.1(1.9),95.5(1.0),95.5(1.0),97.48743719,95.9798995,97.08542714,95.37688442,90.6(2.3),83.2(1.0),22.6(16.9),17.4(0.0),75.6(11.5),81.0(0.7),75.0(8.8),93.8,95,96.44,94.57286432,95.9798995,95.2663317,88.24120603,96.6834171,96.181,96.3819095,97.3869347,98.09,96.47236181,96.72361809,96.72361809,96.62311558,96.66331658,96.85427136,96.97487437
SyntheticControl,99.93(0.13),99.6(0.3),98.5(0.3),98.5(0.3),100,100,99.33333333,98.66666667,99.8(0.2),97.6(0.4),29.8(27.8),16.7(0.0),98.3(1.2),99.0(0.4),87.4(1.6),98.3,99.3,99.27,99.33333333,100,99.3666667,98.33333333,96.6666667,99.333,100,99.6666667,99.67,100,100,100,100,100,100,100
ToeSegmentation1,95.39(0.74),65.9(2.6),96.1(0.5),96.1(0.5),95.1754386,94.73684211,93.85964912,92.10526316,96.3(0.6),58.3(0.9),50.5(2.7),52.6(0.0),49.0(2.5),59.5(2.2),86.5(3.2),75,77.2,93.42105263,78.07017544,82.89473684,88.1578947,96.49122807,93.8596491,94.737,97.3684211,98.245614,96.49,95.78947368,95.83333333,95.74561404,95.70175439,95.52631579,95.57017544,95.74561404
ToeSegmentation2,94.62(1.33),79.5(2.8),88.0(3.3),88.0(3.3),93.84615385,90,93.07692308,91.53846154,90.6(1.7),74.5(1.9),63.2(30.9),81.5(0.0),44.3(15.2),73.8(2.8),84.2(4.6),90.8,83.8,91.53846154,80,89.23076923,88,90.76923077,96.1538462,90.769,91.5384615,95.3846154,93.85,95.38461538,95.07692308,95.30769231,95.38461538,95.38461538,95.46153846,95.46153846
Trace,100.0(0.0),96.0(1.8),100.0(0.0),100.0(0.0),100,100,100,100,100.0(0.0),80.7(0.7),35.4(27.7),24.0(0.0),86.3(5.4),95.0(2.5),95.9(1.9),99,100,100,98,99,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100
TwoLeadECG,99.92(0.03),86.3(2.6),100.0(0.0),100.0(0.0),99.91220369,100,99.82440737,99.20983319,100.0(0.0),76.2(1.3),50.0(0.0),50.0(0.0),76.0(16.8),87.2(2.1),85.2(11.5),99.8,100,99.7,86.56716418,99.2976295,95.0746269,99.73661106,98.0684811,98.975,99.2976295,99.6488147,99.56,99.91220369,99.91220369,99.91220369,99.91220369,99.91220369,99.91220369,99.91220369
TwoPatterns,100.0(0.0),100.0(0.0),87.1(0.3),87.1(0.3),95.95,100,100,100,100.0(0.0),94.6(0.3),40.3(31.1),25.9(0.0),97.8(0.6),99.2(0.3),87.1(1.1),86.8,90.4,99.74,97.625,100,99.975,95.5,99.3,99.824,100,100,100,100,100,100,100,100,100,100
UWaveGestureLibraryAll,94.25(0.24),95.4(0.1),81.7(0.3),81.7(0.3),77.49860413,81.18369626,89.39140145,91.31769961,86.0(0.4),95.5(0.2),28.9(34.7),12.8(0.2),92.9(1.1),91.8(0.4),55.6(2.5),77.3,72.8,79.98,83.08207705,80.54159687,97.107761,80.29034059,93.8860972,80.96,82.1887214,96.8453378,95.2,94.65940815,94.83528755,94.85762144,94.9078727,94.94695701,94.94416527,94.95533222
UWaveGestureLibraryX,82.18(0.28),78.6(0.4),75.4(0.4),75.4(0.4),77.24734785,79.78782803,80.1228364,79.98324958,78.0(0.4),76.7(0.3),18.9(21.3),12.5(0.4),71.1(1.5),71.1(1.1),60.6(1.5),69.9,63.4,71.29,73.61809045,72.5572306,82.1300949,73.0318258,76.2144054,72.473,75.8514796,83.9754327,82.5,82.62423227,82.90340592,82.90061418,82.92573981,83.08766052,83.15187046,83.11836963
UWaveGestureLibraryY,75.72(0.52),69.6(0.6),63.9(0.6),63.9(0.6),62.6186488,65.71747627,72.02680067,71.80346175,67.0(0.7),69.8(0.2),23.7(24.0),12.1(0.0),63.6(1.2),62.6(0.7),52.0(2.1),67.8,65.8,73.15,77.24734785,72.36180905,76.239531,74.84645449,68.5092127,76.996,75.041876,76.5494137,76.72,76.16694584,76.76158571,76.75600223,76.94584031,76.88721385,76.92629816,76.84812954
UWaveGestureLibraryZ,76.36(0.68),71.1(0.5),72.6(0.5),72.6(0.5),61.6694584,70.29592406,74.12060302,72.27805695,75.0(0.4),69.7(0.2),18.0(18.4),12.1(0.0),65.0(1.8),64.2(0.9),56.5(2.0),96.6,89.2,95.3378001,92.62981575,96.8453378,75.4885539,94.22110553,69.4863205,95.031,96.4265773,78.3082077,76.41,77.13288666,77.42322725,77.52372976,77.63260748,77.5041876,77.7638191,77.63260748
Wafer,99.84(0.05),99.6(0.0),99.7(0.0),99.7(0.0),99.80532122,99.72420506,99.62686567,99.74042829,99.9(0.1),99.6(0.0),91.3(4.4),89.2(0.0),99.2(0.3),96.1(0.1),91.4(0.5),99.5,98,99.62,99.51330305,99.74042829,99.5084361,100,99.4808566,100,99.9837768,99.9351071,99.85,99.86048021,99.85723556,99.86210253,99.85561324,99.85399091,99.85236859,99.85399091
Wine,74.44(11.47),50.0(0.0),58.7(8.3),58.7(8.3),75.92592593,87.03703704,77.77777778,88.88888889,74.4(8.5),56.5(7.1),50.0(0.0),50.0(0.0),50.0(0.0),51.7(5.1),75.9(9.1),61.1,57.4,50,61.11111111,57.40740741,53.5185185,79.62962963,74.0740741,85.185,64.8148148,77.7777778,61.11,78.7037037,83.7037037,84.25925926,83.51851852,83.88888889,84.25925926,84.81481481
WordSynonyms,74.23(0.75),61.3(0.9),56.4(1.2),56.4(1.2),65.98746082,68.80877743,73.04075235,73.04075235,62.2(1.5),59.8(0.8),28.4(13.6),21.9(0.0),46.3(6.1),56.6(0.8),49.0(3.0),74.8,64.9,66.02,68.80877743,77.89968652,74.137931,57.05329154,63.7931034,72.414,75.7053292,73.8244514,73.35,75.28213166,76.15987461,75.97178683,75.89341693,76.2539185,76.17554859,76.31661442
Worms,76.49(2.69),57.1(3.7),76.5(2.2),76.5(2.2),77.92207792,71.42857143,71.42857143,70.12987013,79.1(2.5),45.7(2.4),42.9(0.0),42.9(0.0),42.6(5.5),38.3(2.5),46.6(4.5),53.2,58.4,61.03896104,68.83116883,66.23376623,66.4935065,74.02597403,55.8441558,80.519,62.3376623,55.8441558,77.92,78.18181818,78.7012987,78.83116883,79.22077922,78.96103896,79.87012987,78.57142857
WormsTwoClass,65.71(3.59),63.9(4.4),72.6(2.7),72.6(2.7),75.32467532,68.83116883,75.32467532,63.63636364,74.7(3.3),60.1(1.5),57.1(0.0),55.7(4.5),57.0(1.9),53.8(2.6),57.0(2.3),58.4,62.3,72.72727273,75.32467532,68.83116883,74.025974,83.11688312,83.1168831,80.519,80.5194805,77.9220779,79.22,65.45454545,65.45454545,64.67532468,65.84415584,65.97402597,66.36363636,66.1038961
Yoga,91.06(0.88),82.0(0.6),83.9(0.7),83.9(0.7),87.3,89.46666667,90.2,87,87.0(0.9),85.5(0.4),53.6(0.0),53.6(0.0),76.2(3.9),78.1(0.7),60.7(1.9),84.4,83.6,84.99,81.93333333,87.9,87.6133333,81.76666667,91.8333333,90.9,87.6666667,91.7666667,90.17,91.37,92.22333333,92.19666667,92.35666667,92.40333333,92.31666667,92.43666667
